hs8,hs6,naics6,naics2,tariff,desc,Country,unmapped,bad_naics6,naics2_mismatch,public_admin,hs97,hs000
17029090,170290,31131X,31,20.0%,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel: ---Other",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17031000,170310,31131X,31,5.0%,Molasses resulting from the extraction or refining of sugar: -Cane molasses,China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17031010,170310,31131X,31,25.0%,Molasses resulting from the extraction or refining of sugar. Cane molassesPowder with admixture other than colouring or anti-caking agents,Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17031090,170310,31131X,31,25.0%,Molasses resulting from the extraction or refining of sugar. Cane molassesOther,Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17039000,170390,31131X,31,5.0%,Molasses resulting from the extraction or refining of sugar: -Other,China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17039010,170390,31131X,31,25.0%,Molasses resulting from the extraction or refining of sugar. OtherPowder with admixture other than colouring or anti-caking agents,Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17039090,170390,31131X,31,25.0%,Molasses resulting from the extraction or refining of sugar. OtherOther,Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
19051000,190510,31181X,31,2.5%,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products: -Crispbread",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
19052000,190520,31181X,31,2.5%,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products: -Gingerbread and the like",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
19053100,190531,31181X,31,25.0%,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products: --Sweet biscuits",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
19053200,190532,31181X,31,25.0%,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products: --Waffles and wafers",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
19054000,190540,31181X,31,25.0%,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products: -Rusks, toasted bread and similar toasted products",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
